                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2869,                 2.4943,                 3.4422,                 1.3411,                 0.0116,                0.88333,                0.15888,                 0.1196,                 0.0106,                0.83333,                0.15719,                0.11204,                0.87578,                  2.474,                 3.4036,                 1.2197,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                0.98205,                 1.7257,                 3.0285,                 1.1314,                0.01427,                    0.9,                0.51389,                0.39666,                0.01264,                0.81667,                0.50599,                0.35563,                0.97129,                 3.1662,                 3.2343,                 1.1694,             0.00018286,             0.00018286,             0.00018286
                      3,                0.86285,                 1.2728,                 2.2029,                 1.0373,                0.01491,                0.81667,                0.42745,                 0.3157,                0.01456,                    0.8,                0.42491,                 0.2589,                 1.0685,                 3.6912,                 3.1584,                 1.2737,             0.00027327,             0.00027327,             0.00027327
                      4,                0.80743,                 1.3386,                 1.9138,                 1.0489,                0.73759,                0.41839,                0.41646,                0.33524,                0.72767,                0.39239,                0.41335,                0.31322,                 1.1593,                 3.5166,                 3.1691,                  1.351,             0.00035873,             0.00035873,             0.00035873
                      5,                0.82134,                 1.3573,                 1.6398,                 1.0348,                0.01716,                  0.625,                 0.2698,                0.19357,                 0.0158,                  0.525,                0.25518,                0.19607,                 1.6414,                 4.1299,                 3.4966,                 1.7347,             0.00043924,             0.00043924,             0.00043924
                      6,                0.79825,                 1.1389,                 1.5184,                 1.0202,                0.78253,                0.14557,                 0.2823,                0.20165,                0.78253,                0.14557,                  0.272,                0.20795,                 1.6769,                 4.6954,                 3.2442,                 1.8264,              0.0005148,              0.0005148,              0.0005148
                      7,                0.74798,                 1.0291,                 1.3325,                      1,                0.63467,                  0.325,                0.31487,                0.24195,                0.63467,                  0.325,                0.30114,                0.24011,                 1.7733,                 4.7936,                 3.0257,                 1.9287,             0.00058541,             0.00058541,             0.00058541
                      8,                0.74819,                0.95954,                 1.2659,                0.98666,                0.85511,                0.48028,                0.51566,                0.38342,                0.85511,                0.48028,                0.49677,                0.38282,                 1.5249,                 4.6795,                 2.7683,                 1.6784,             0.00065107,             0.00065107,             0.00065107
                      9,                0.69904,                 1.0021,                 1.0718,                0.96446,                0.83071,                0.56119,                0.58774,                0.46395,                0.83071,                0.56119,                0.58505,                0.40261,                 1.3772,                 3.7753,                 2.6473,                 1.4961,             0.00071178,             0.00071178,             0.00071178
                     10,                0.66775,                0.95891,                 1.0958,                  0.975,                0.91664,                0.44121,                0.57089,                0.44089,                0.91664,                0.44121,                0.52946,                0.39147,                 1.4502,                 3.3672,                 2.7008,                  1.526,             0.00076753,             0.00076753,             0.00076753
