                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.68303,                0.90035,                 1.0564,                0.96893,                0.91752,                0.43333,                  0.508,                0.36462,                0.91752,                0.43333,                0.48501,                0.34906,                 1.6364,                 4.1343,                 2.7698,                  1.709,             0.00081834,             0.00081834,             0.00081834
                     12,                0.68214,                0.88933,                 1.0321,                0.94216,                0.85004,                0.43333,                0.47098,                0.36277,                0.85004,                0.43333,                0.44889,                0.34348,                 1.5281,                 4.0528,                 2.7097,                 1.6898,              0.0008642,              0.0008642,              0.0008642
                     13,                0.63182,                0.91552,                0.98397,                0.94506,                0.67117,                   0.35,                0.31979,                0.22286,                0.67117,                   0.35,                 0.3013,                0.21288,                 1.6778,                 3.9051,                 3.2148,                 1.8174,             0.00087875,             0.00087875,             0.00087875
                     14,                0.64663,                 0.8632,                0.94492,                0.94411,                0.68243,                0.40833,                0.53076,                0.39096,                0.68243,                0.40833,                 0.4937,                0.37909,                  1.605,                 3.9485,                 2.6204,                  1.796,             0.00084781,             0.00084781,             0.00084781
                     15,                0.64071,                0.81788,                0.97496,                0.94746,                0.80505,                0.48796,                0.56666,                0.44819,                0.80505,                0.48796,                 0.5604,                0.45253,                 1.5172,                 3.7727,                 2.4242,                 1.7613,             0.00081688,             0.00081688,             0.00081688
                     16,                 0.6188,                0.75639,                0.97463,                0.94441,                 0.8637,                0.52104,                0.47602,                0.39812,                 0.8637,                0.52104,                0.47678,                0.37558,                  1.357,                 3.6167,                 2.5242,                 1.5785,             0.00078594,             0.00078594,             0.00078594
                     17,                0.59649,                0.76192,                 0.8833,                0.92208,                0.71032,                0.54117,                0.57493,                0.46684,                0.71032,                0.54117,                0.55556,                0.45769,                 1.2684,                 3.1879,                 2.3868,                 1.4723,               0.000755,               0.000755,               0.000755
                     18,                 0.5928,                 0.7369,                 0.8388,                0.93426,                0.63975,                   0.65,                0.66913,                0.54205,                0.63975,                   0.65,                0.65895,                0.48661,                 1.1955,                 3.0779,                 2.1632,                 1.4362,             0.00072406,             0.00072406,             0.00072406
                     19,                 0.5885,                0.82471,                0.82181,                0.91445,                0.66034,                    0.7,                0.66492,                0.54409,                0.66034,                    0.7,                0.65603,                0.51747,                 1.1484,                 3.0363,                 2.0659,                 1.3798,             0.00069313,             0.00069313,             0.00069313
                     20,                0.57652,                0.77012,                0.80067,                0.93735,                0.61548,                    0.7,                0.67133,                0.54492,                0.61548,                    0.7,                0.65479,                0.55377,                 1.1968,                 2.9453,                 2.0572,                 1.3496,             0.00066219,             0.00066219,             0.00066219
                     21,                0.56142,                0.72987,                0.78425,                0.92057,                0.64519,                0.69548,                0.64414,                0.50977,                0.64519,                0.69548,                0.63041,                0.52307,                 1.1218,                 3.0803,                 1.9953,                 1.3233,             0.00063125,             0.00063125,             0.00063125
                     22,                0.58598,                0.81056,                 0.8046,                0.91883,                0.63541,                0.71667,                0.64284,                0.53809,                0.63541,                0.71667,                0.63232,                0.52912,                  1.153,                  3.242,                 1.9871,                 1.3725,             0.00060031,             0.00060031,             0.00060031
                     23,                0.56362,                0.70468,                  0.774,                0.90818,                0.71711,                0.69759,                0.64849,                0.55504,                0.71711,                0.69759,                0.63695,                0.52158,                 1.1914,                 3.2217,                 2.0161,                 1.4442,             0.00056938,             0.00056938,             0.00056938
                     24,                0.53828,                0.74584,                0.75884,                0.90912,                0.64717,                0.67916,                0.63173,                 0.5147,                0.64717,                0.67916,                0.62029,                 0.4932,                 1.3016,                 3.2138,                 2.0948,                 1.4998,             0.00053844,             0.00053844,             0.00053844
                     25,                0.52876,                0.63344,                0.75177,                0.91285,                0.62986,                0.59473,                0.61801,                0.46922,                0.54805,                 0.5788,                0.56851,                0.45135,                 1.4238,                 3.3775,                 2.2794,                  1.477,              0.0005075,              0.0005075,              0.0005075
                     26,                0.54129,                0.71368,                0.75728,                0.90211,                0.79524,                0.55318,                0.58814,                0.48033,                0.78542,                   0.55,                0.55064,                0.44837,                 1.3109,                 3.3057,                 2.3945,                 1.4444,             0.00047656,             0.00047656,             0.00047656
                     27,                0.51478,                0.67191,                0.73398,                0.89633,                0.59425,                0.58333,                0.61178,                0.49355,                0.61035,                0.58333,                0.56684,                0.47341,                  1.165,                 3.2683,                 2.2164,                 1.3396,             0.00044563,             0.00044563,             0.00044563
                     28,                0.52274,                 0.7861,                0.71978,                 0.9022,                0.63891,                 0.6469,                0.65051,                0.53247,                0.63891,                 0.6469,                0.61565,                0.50169,                 1.0811,                 3.3729,                 2.1937,                 1.3014,             0.00041469,             0.00041469,             0.00041469
                     29,                0.50925,                0.64829,                0.71696,                0.90024,                 0.7656,                0.66333,                0.68291,                0.53291,                0.76832,                0.65968,                0.61141,                0.51108,                 1.1198,                 3.4466,                 2.1124,                 1.3072,             0.00038375,             0.00038375,             0.00038375
                     30,                0.50685,                0.64309,                0.70558,                0.90078,                0.81791,                0.68258,                0.73183,                0.55982,                0.79676,                0.66667,                0.62475,                0.50739,                 1.1124,                 3.2152,                 2.0588,                 1.2751,             0.00035281,             0.00035281,             0.00035281
                     31,                0.44761,                0.69399,                0.82202,                0.88921,                0.85407,                0.71058,                0.71466,                0.56851,                0.78098,                0.69082,                0.64285,                0.51127,                 1.1404,                 3.1058,                 2.1399,                 1.3245,             0.00032188,             0.00032188,             0.00032188
                     32,                0.45696,                0.68617,                0.74501,                 0.8699,                 0.8058,                0.69712,                0.69527,                0.54575,                0.71767,                0.68045,                0.63773,                0.51696,                 1.2087,                 3.0781,                 2.3191,                 1.3975,             0.00029094,             0.00029094,             0.00029094
                     33,                 0.4372,                0.71873,                0.78563,                0.87675,                0.83412,                0.69548,                0.67533,                0.53615,                0.83412,                0.69548,                0.65455,                0.52305,                 1.2127,                 3.1361,                 2.3157,                 1.3722,                0.00026,                0.00026,                0.00026
                     34,                0.38718,                0.54945,                 0.7481,                0.84838,                0.71312,                    0.7,                0.67683,                0.54603,                0.71312,                    0.7,                0.65953,                0.51747,                 1.0934,                 3.0484,                 2.1785,                 1.2897,             0.00022906,             0.00022906,             0.00022906
                     35,                0.39774,                0.57014,                0.70264,                0.88772,                0.74361,                    0.7,                0.67334,                0.55428,                0.74361,                    0.7,                0.65146,                0.54528,                 1.0214,                 3.0781,                 2.1515,                   1.25,             0.00019813,             0.00019813,             0.00019813
                     36,                0.41445,                0.55988,                0.67796,                0.89889,                0.75953,                0.70445,                0.69803,                0.57081,                0.77059,                0.69843,                 0.6568,                0.54124,                0.97198,                  3.111,                 2.0781,                 1.2102,             0.00016719,             0.00016719,             0.00016719
                     37,                0.39293,                0.52813,                0.66759,                0.86989,                0.81676,                0.70871,                0.70857,                0.59005,                0.82051,                    0.7,                0.66826,                0.55713,                 0.9376,                 2.9461,                 1.9702,                 1.1811,             0.00013625,             0.00013625,             0.00013625
                     38,                0.35251,                0.51785,                0.63905,                0.83321,                0.79924,                 0.7386,                0.71599,                0.57814,                0.82971,                0.71284,                0.68019,                0.54792,                 0.9331,                 2.9697,                 1.9376,                 1.1838,             0.00010531,             0.00010531,             0.00010531
                     39,                0.37284,                0.56963,                0.67702,                0.83208,                0.80455,                0.74659,                0.71886,                  0.598,                0.79388,                 0.7084,                0.67942,                0.56198,                0.95752,                 3.0188,                 1.9425,                 1.1906,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     40,                0.35331,                0.56812,                0.64272,                0.84632,                0.80496,                   0.75,                0.72047,                0.60109,                0.82572,                0.71299,                0.68268,                0.56538,                0.96353,                 3.0411,                 1.9223,                 1.1988,             4.3438e-05,             4.3438e-05,             4.3438e-05
