                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.552,                0.63275,                0.96882,                0.89876,                      1,                  0.973,                 0.7142,                0.92481,                0.96811,                 1.5002,               0.001307,               0.001307,               0.001307
                     37,                0.53428,                0.59743,                0.95742,                0.87343,                0.88889,                0.96278,                0.76662,                0.83247,                 0.9333,                 1.3592,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.5337,                0.58286,                0.97235,                0.89992,                0.99919,                  0.984,                0.73505,                0.89113,                0.80084,                 1.3883,              0.0012674,              0.0012674,              0.0012674
                     39,                0.53191,                0.58311,                0.96305,                0.94444,                      1,                  0.995,                0.73385,                0.94377,                0.81886,                 1.4005,              0.0012476,              0.0012476,              0.0012476
                     40,                0.52667,                0.56871,                0.94903,                      1,                0.98794,                  0.995,                0.71579,                0.95023,                 0.9113,                 1.3762,              0.0012278,              0.0012278,              0.0012278
                     41,                0.53247,                0.58009,                0.97843,                      1,                0.99669,                  0.995,                0.74286,                0.91606,                0.76821,                 1.3439,               0.001208,               0.001208,               0.001208
                     42,                0.50172,                0.53949,                0.94426,                0.99429,                      1,                  0.995,                0.77093,                0.90768,                0.67392,                 1.3386,              0.0011882,              0.0011882,              0.0011882
                     43,                  0.644,                0.85916,                 1.1374,                 0.9926,                      1,                  0.995,                0.75736,                0.88542,                0.69738,                 1.3863,              0.0011684,              0.0011684,              0.0011684
                     44,                0.49711,                0.59606,                0.95511,                      1,                0.99946,                  0.995,                0.69907,                0.97656,                0.76492,                 1.4055,              0.0011486,              0.0011486,              0.0011486
                     45,                0.51771,                0.57403,                  1.009,                      1,                0.99717,                  0.995,                0.73629,                0.92787,                0.74397,                 1.4266,              0.0011288,              0.0011288,              0.0011288
                     46,                0.54882,                0.57207,                 1.0065,                0.99848,                      1,                  0.995,                0.73311,                0.87038,                0.64494,                 1.4275,               0.001109,               0.001109,               0.001109
                     47,                0.49764,                0.53698,                0.96703,                0.99728,                      1,                  0.995,                0.77194,                0.85427,                0.64458,                 1.3464,              0.0010892,              0.0010892,              0.0010892
                     48,                0.53235,                0.55446,                 0.9753,                0.99487,                      1,                  0.995,                0.78451,                0.78051,                0.63272,                 1.2321,              0.0010694,              0.0010694,              0.0010694
                     49,                  0.476,                0.53248,                0.97705,                0.99389,                      1,                  0.995,                0.80475,                0.79431,                0.60729,                 1.2184,              0.0010496,              0.0010496,              0.0010496
                     50,                0.48788,                0.50959,                0.94074,                0.99359,                      1,                  0.995,                0.81406,                0.74664,                0.60336,                   1.26,              0.0010298,              0.0010298,              0.0010298
                     51,                0.44695,                0.50383,                0.92156,                0.99362,                      1,                  0.995,                 0.7947,                0.80838,                0.63877,                 1.2952,                0.00101,                0.00101,                0.00101
                     52,                0.49152,                0.53173,                0.92769,                0.99287,                      1,                  0.995,                0.79291,                0.80973,                0.63902,                 1.3298,              0.0009902,              0.0009902,              0.0009902
                     53,                0.39594,                0.47352,                0.93357,                0.99259,                      1,                  0.995,                0.77237,                0.88272,                0.69579,                 1.4649,              0.0009704,              0.0009704,              0.0009704
                     54,                0.43425,                0.49326,                 0.9397,                0.99258,                      1,                  0.995,                0.75779,                0.99757,                0.64374,                 1.5485,              0.0009506,              0.0009506,              0.0009506
                     55,                0.46875,                0.50411,                0.95081,                0.99331,                      1,                  0.995,                 0.7611,                 0.9756,                0.64114,                  1.493,              0.0009308,              0.0009308,              0.0009308
                     56,                0.44825,                0.47577,                0.92656,                0.99321,                      1,                  0.995,                0.77299,                0.93444,                0.63517,                 1.3984,               0.000911,               0.000911,               0.000911
                     57,                0.44132,                0.47637,                0.91619,                0.99323,                      1,                  0.995,                0.75862,                0.92754,                0.62943,                 1.3415,              0.0008912,              0.0008912,              0.0008912
                     58,                0.43806,                0.47501,                0.91826,                 0.9944,                      1,                  0.995,                0.76336,                0.86939,                0.62404,                 1.3179,              0.0008714,              0.0008714,              0.0008714
                     59,                0.45082,                0.50487,                 0.9258,                0.99433,                      1,                  0.995,                0.79736,                0.83364,                0.59366,                 1.2653,              0.0008516,              0.0008516,              0.0008516
