                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1281,                 3.3568,                 2.6444,                 1.3944,                0.00533,                      1,                0.09562,                0.05902,                0.00533,                      1,                0.09562,                0.05959,                0.88374,                 1.2545,                 3.1457,                 1.2789,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0827,                 3.1599,                 2.5654,                 1.3493,                0.00533,                      1,                0.38808,                0.33051,                0.00533,                      1,                0.38808,                0.32513,                0.59544,                0.80834,                 3.0002,                 1.0455,              0.0001169,              0.0001169,              0.0001169
                      3,                0.73693,                 1.4626,                 2.1919,                  1.119,                0.00533,                      1,                0.85833,                0.74877,                0.00533,                      1,                0.85833,                0.76462,                0.49741,                0.49386,                 2.7681,                0.86327,              0.0001474,              0.0001474,              0.0001474
                      4,                0.58664,                0.87053,                 1.7397,                  1.025,                0.01034,                      1,                0.85864,                0.73814,                0.01034,                      1,                0.85864,                0.75377,                0.47814,                0.46293,                 2.5715,                0.85307,              0.0001515,              0.0001515,              0.0001515
                      5,                0.54338,                0.66692,                 1.2793,                0.97151,                0.65569,                0.71707,                0.89409,                0.78942,                0.65569,                0.71707,                0.89409,                0.82107,                0.47703,                0.47533,                 2.5034,                0.85354,              0.0001292,              0.0001292,              0.0001292
                      6,                0.51944,                0.91505,                  1.206,                0.99086,                0.66366,                  0.625,                0.85833,                0.79806,                0.66366,                  0.625,                0.85833,                 0.7812,                0.45217,                0.48416,                 2.4597,                0.84589,               8.05e-05,               8.05e-05,               8.05e-05
